scenario,label,total_days,pct_of_total,days_above_overnight_mid,pct_above_overnight_mid,days_above_0609_low,pct_above_0609_low,days_above_18_09_low,pct_above_18_09_low,days_below_overnight_mid,pct_below_overnight_mid,days_below_0609_high,pct_below_0609_high,days_below_18_09_high,pct_below_18_09_high,days_new_high_09_1130,pct_new_high_09_1130,days_new_low_09_1130,pct_new_low_09_1130
1,1,59,4.5630,14,23.7288,33,55.9322,33,55.9322,0,0.0000,0,0.0000,0,0.0000,49,83.0508,0,0.0000
2,2,75,5.8005,27,36.0000,30,40.0000,39,52.0000,0,0.0000,0,0.0000,0,0.0000,64,85.3333,0,0.0000
3,3,179,13.8438,81,45.2514,59,32.9609,114,63.6872,0,0.0000,0,0.0000,0,0.0000,150,83.7989,0,0.0000
4,4,54,4.1763,0,0.0000,0,0.0000,0,0.0000,7,12.9630,26,48.1481,26,48.1481,0,0.0000,39,72.2222
5,5,84,6.4965,0,0.0000,0,0.0000,0,0.0000,23,27.3810,32,38.0952,45,53.5714,0,0.0000,67,79.7619
6,6,99,7.6566,0,0.0000,0,0.0000,0,0.0000,52,52.5253,47,47.4747,75,75.7576,0,0.0000,84,84.8485
7,7 (A),129,9.9768,0,0.0000,36,27.9070,36,27.9070,0,0.0000,0,0.0000,0,0.0000,46,35.6589,0,0.0000
8,8 (B),254,19.6442,38,14.9606,74,29.1339,115,45.2756,0,0.0000,0,0.0000,0,0.0000,163,64.1732,0,0.0000
9,9 (C),187,14.4625,0,0.0000,29,15.5080,45,24.0642,0,0.0000,0,0.0000,0,0.0000,61,32.6203,0,0.0000
10,10 (D),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
11,11 (E),172,13.3024,56,32.5581,27,15.6977,111,64.5349,0,0.0000,0,0.0000,0,0.0000,118,68.6047,0,0.0000
12,12 (F),1,0.0773,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
13,13 (G),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
14,14 (H),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
15,15 (I),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
16,16 (J),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
17,17 (K),0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000,0,0.0000
